ra_bin_deg,dec_bin_deg,n_stars
6.0,7.0,59585
6.0,8.0,81795
6.0,9.0,112620
6.0,10.0,173226
6.0,11.0,199511
6.0,12.0,151324
6.0,13.0,81597
6.0,14.0,42686
6.0,15.0,22132
6.0,16.0,12293
6.0,17.0,2810
7.0,-18.0,3557
7.0,-17.0,8296
7.0,-16.0,11037
7.0,-15.0,13161
7.0,-14.0,13888
7.0,-13.0,14260
7.0,-12.0,14400
7.0,-11.0,14390
7.0,-10.0,14863
7.0,-9.0,14730
7.0,-8.0,15134
7.0,-7.0,15559
7.0,-6.0,15651
7.0,-5.0,16206
7.0,-4.0,16801
7.0,-3.0,17793
7.0,-2.0,18851
7.0,-1.0,19912
7.0,0.0,21864
7.0,1.0,22123
7.0,2.0,23597
7.0,3.0,25604
7.0,4.0,30574
7.0,5.0,37864
7.0,6.0,48969
7.0,7.0,67296
7.0,8.0,93302
7.0,9.0,125340
7.0,10.0,175092
7.0,11.0,180916
7.0,12.0,122425
7.0,13.0,69126
7.0,14.0,41190
7.0,15.0,22040
7.0,16.0,11740
7.0,17.0,2891
8.0,-18.0,3484
8.0,-17.0,8524
8.0,-16.0,11146
8.0,-15.0,13329
8.0,-14.0,14268
8.0,-13.0,14651
8.0,-12.0,14929
8.0,-11.0,14983
8.0,-10.0,15148
8.0,-9.0,15453
8.0,-8.0,15756
8.0,-7.0,16115
8.0,-6.0,16491
8.0,-5.0,16871
8.0,-4.0,17526
8.0,-3.0,18745
8.0,-2.0,19826
8.0,-1.0,20998
8.0,0.0,22497
8.0,1.0,22425
8.0,2.0,25471
8.0,3.0,28785
8.0,4.0,30851
8.0,5.0,40461
8.0,6.0,52442
8.0,7.0,75814
8.0,8.0,103381
8.0,9.0,135430
8.0,10.0,153292
8.0,11.0,135657
8.0,12.0,139788
8.0,13.0,48366
8.0,14.0,37169
8.0,15.0,24316
8.0,16.0,10401
8.0,17.0,2613
9.0,-18.0,3582
9.0,-17.0,8554
9.0,-16.0,11222
9.0,-15.0,13670
9.0,-14.0,14536
9.0,-13.0,15214
9.0,-12.0,16476
9.0,-11.0,16239
9.0,-10.0,16021
9.0,-9.0,16410
9.0,-8.0,16693
9.0,-7.0,16991
9.0,-6.0,17831
9.0,-5.0,18216
9.0,-4.0,19057
9.0,-3.0,19378
9.0,-2.0,20566
9.0,-1.0,22358
9.0,0.0,23838
9.0,1.0,22847
9.0,2.0,24850
9.0,3.0,32772
9.0,4.0,36215
9.0,5.0,42176
9.0,6.0,56597
9.0,7.0,79451
9.0,8.0,115447
9.0,9.0,137745
9.0,10.0,121669
9.0,11.0,93698
9.0,12.0,101773
9.0,13.0,53649
9.0,14.0,36372
9.0,15.0,24719
9.0,16.0,10808
9.0,17.0,2668
10.0,-18.0,3527
10.0,-17.0,8823
10.0,-16.0,11452
10.0,-15.0,13976
10.0,-14.0,14850
10.0,-13.0,15422
10.0,-12.0,16257
10.0,-11.0,16654
10.0,-10.0,17214
10.0,-9.0,17401
10.0,-8.0,17786
10.0,-7.0,18621
10.0,-6.0,19241
10.0,-5.0,19969
10.0,-4.0,20406
10.0,-3.0,21585
10.0,-2.0,23120
10.0,-1.0,24563
10.0,0.0,26146
10.0,1.0,25880
10.0,2.0,26790
10.0,3.0,37716
10.0,4.0,42362
10.0,5.0,51671
10.0,6.0,51543
10.0,7.0,89373
10.0,8.0,132995
10.0,9.0,146370
10.0,10.0,111565
10.0,11.0,71158
10.0,12.0,89824
10.0,13.0,51758
10.0,14.0,39544
10.0,15.0,24392
10.0,16.0,11175
10.0,17.0,2523
11.0,-18.0,3533
11.0,-17.0,9104
11.0,-16.0,11992
11.0,-15.0,14402
