ra_bin_deg,dec_bin_deg,n_stars
33.0,-2.0,27031
33.0,-1.0,23679
33.0,0.0,21466
33.0,1.0,19399
33.0,2.0,18064
33.0,3.0,17004
33.0,4.0,15813
33.0,5.0,14271
33.0,6.0,13423
33.0,7.0,12891
33.0,8.0,12147
33.0,9.0,11358
33.0,10.0,11027
33.0,11.0,10424
33.0,12.0,9786
33.0,13.0,8969
33.0,14.0,8206
33.0,15.0,7015
33.0,16.0,4987
33.0,17.0,1597
34.0,-18.0,5235
34.0,-17.0,18400
34.0,-16.0,45421
34.0,-15.0,116894
34.0,-14.0,316675
34.0,-13.0,515109
34.0,-12.0,574944
34.0,-11.0,292421
34.0,-10.0,175272
34.0,-9.0,116293
34.0,-8.0,79677
34.0,-7.0,63272
34.0,-6.0,50482
34.0,-5.0,41281
34.0,-4.0,34335
34.0,-3.0,29952
34.0,-2.0,26364
34.0,-1.0,23046
34.0,0.0,20904
34.0,1.0,18839
34.0,2.0,17233
34.0,3.0,16406
34.0,4.0,15032
34.0,5.0,13931
34.0,6.0,13086
34.0,7.0,12454
34.0,8.0,11934
34.0,9.0,11281
34.0,10.0,10624
34.0,11.0,10266
34.0,12.0,9488
34.0,13.0,8952
34.0,14.0,7824
34.0,15.0,6779
34.0,16.0,4860
34.0,17.0,1658
35.0,-18.0,5353
35.0,-17.0,18068
35.0,-16.0,47274
35.0,-15.0,132125
35.0,-14.0,375910
35.0,-13.0,696362
35.0,-12.0,477728
35.0,-11.0,281972
35.0,-10.0,169363
35.0,-9.0,104409
35.0,-8.0,77246
35.0,-7.0,60606
35.0,-6.0,48133
35.0,-5.0,40245
35.0,-4.0,34317
35.0,-3.0,29121
35.0,-2.0,25593
35.0,-1.0,23416
35.0,0.0,20666
35.0,1.0,18936
35.0,2.0,17270
35.0,3.0,15863
35.0,4.0,14633
35.0,5.0,13777
35.0,6.0,12861
35.0,7.0,12468
35.0,8.0,11472
35.0,9.0,11094
35.0,10.0,10420
35.0,11.0,9966
35.0,12.0,9402
35.0,13.0,8794
35.0,14.0,7999
35.0,15.0,6608
35.0,16.0,4639
35.0,17.0,1720
36.0,-18.0,5360
36.0,-17.0,19483
36.0,-16.0,49796
36.0,-15.0,138206
36.0,-14.0,463092
36.0,-13.0,606389
36.0,-12.0,411198
36.0,-11.0,275303
36.0,-10.0,165257
36.0,-9.0,103033
36.0,-8.0,78819
36.0,-7.0,60627
36.0,-6.0,48116
36.0,-5.0,39562
36.0,-4.0,33394
36.0,-3.0,28569
36.0,-2.0,25935
36.0,-1.0,23029
36.0,0.0,20686
36.0,1.0,18892
36.0,2.0,17409
36.0,3.0,16040
36.0,4.0,14754
36.0,5.0,13789
36.0,6.0,13039
36.0,7.0,12226
36.0,8.0,11727
36.0,9.0,10997
36.0,10.0,10309
36.0,11.0,9905
36.0,12.0,9420
36.0,13.0,8657
36.0,14.0,7882
36.0,15.0,6527
36.0,16.0,4625
36.0,17.0,1729
37.0,-18.0,5468
37.0,-17.0,17656
37.0,-16.0,50001
37.0,-15.0,133663
37.0,-14.0,503077
37.0,-13.0,567832
37.0,-12.0,371268
37.0,-11.0,266214
37.0,-10.0,165144
37.0,-9.0,110488
37.0,-8.0,81953
37.0,-7.0,62126
37.0,-6.0,49955
37.0,-5.0,40067
37.0,-4.0,34832
37.0,-3.0,29967
37.0,-2.0,26769
37.0,-1.0,23630
37.0,0.0,21125
37.0,1.0,19221
37.0,2.0,17343
37.0,3.0,16144
37.0,4.0,14958
37.0,5.0,14005
37.0,6.0,12788
37.0,7.0,12271
37.0,8.0,11627
37.0,9.0,11004
37.0,10.0,10475
37.0,11.0,10146
37.0,12.0,9357
37.0,13.0,8632
37.0,14.0,7813
37.0,15.0,6482
37.0,16.0,4697
37.0,17.0,1734
38.0,-18.0,5524
38.0,-17.0,19387
38.0,-16.0,42137
38.0,-15.0,167294
38.0,-14.0,520611
38.0,-13.0,433370
38.0,-12.0,446886
38.0,-11.0,249379
38.0,-10.0,167786
38.0,-9.0,114272
38.0,-8.0,85346
38.0,-7.0,64477
38.0,-6.0,50786
38.0,-5.0,41016
38.0,-4.0,35622
38.0,-3.0,31310
38.0,-2.0,27226
38.0,-1.0,24310
38.0,0.0,22064
38.0,1.0,19857
38.0,2.0,18193
38.0,3.0,16668
38.0,4.0,15141
38.0,5.0,14228
38.0,6.0,13235
38.0,7.0,12403
38.0,8.0,11894
38.0,9.0,11183
38.0,10.0,10634
38.0,11.0,9983
38.0,12.0,9516
38.0,13.0,8814
38.0,14.0,7978
38.0,15.0,6642
38.0,16.0,4595
38.0,17.0,1789
39.0,-18.0,5396
39.0,-17.0,19617
39.0,-16.0,54602
39.0,-15.0,172148
39.0,-14.0,518002
39.0,-13.0,570109
39.0,-12.0,456513
39.0,-11.0,235555
39.0,-10.0,176569
39.0,-9.0,120514
39.0,-8.0,90303
39.0,-7.0,68892
39.0,-6.0,53433
39.0,-5.0,42122
39.0,-4.0,36596
39.0,-3.0,32655
39.0,-2.0,28594
39.0,-1.0,25641
39.0,0.0,22923
39.0,1.0,20608
39.0,2.0,18849
39.0,3.0,19122
39.0,4.0,15829
39.0,5.0,14786
39.0,6.0,14005
39.0,7.0,13292
39.0,8.0,12132
39.0,9.0,11333
39.0,10.0,10938
39.0,11.0,10218
39.0,12.0,9592
39.0,13.0,8787
39.0,14.0,8037
39.0,15.0,6650
39.0,16.0,4842
39.0,17.0,1945
40.0,-18.0,5490
40.0,-17.0,19681
40.0,-16.0,65508
40.0,-15.0,164419
40.0,-14.0,471237
40.0,-13.0,817126
40.0,-12.0,470364
40.0,-11.0,266247
40.0,-10.0,251937
40.0,-9.0,133440
40.0,-8.0,99285
40.0,-7.0,75717
40.0,-6.0,59492
40.0,-5.0,46269
40.0,-4.0,38878
40.0,-3.0,34538
40.0,-2.0,30603
40.0,-1.0,26993
40.0,0.0,24355
40.0,1.0,21785
40.0,2.0,19861
40.0,3.0,18170
40.0,4.0,16783
40.0,5.0,15214
40.0,6.0,14614
40.0,7.0,13391
40.0,8.0,12557
40.0,9.0,12046
40.0,10.0,11211
40.0,11.0,10650
40.0,12.0,9774
40.0,13.0,8996
40.0,14.0,8388
40.0,15.0,6822
40.0,16.0,4974
40.0,17.0,1915
41.0,-18.0,5418
41.0,-17.0,21061
41.0,-16.0,65346
41.0,-15.0,156745
41.0,-14.0,506978
41.0,-13.0,533526
41.0,-12.0,545664
41.0,-11.0,278008
41.0,-10.0,224507
41.0,-9.0,154937
41.0,-8.0,110738
41.0,-7.0,84315
41.0,-6.0,64752
41.0,-5.0,51890
41.0,-4.0,41884
41.0,-3.0,36634
41.0,-2.0,33098
41.0,-1.0,28516
41.0,0.0,25781
41.0,1.0,23356
41.0,2.0,21123
41.0,3.0,18988
41.0,4.0,17596
41.0,5.0,20018
41.0,6.0,15099
41.0,7.0,13937
41.0,8.0,13178
41.0,9.0,12444
41.0,10.0,11673
41.0,11.0,10844
41.0,12.0,9993
41.0,13.0,9295
41.0,14.0,8209
41.0,15.0,7162
41.0,16.0,5067
41.0,17.0,1981
42.0,-18.0,5311
42.0,-17.0,21753
42.0,-16.0,65622
42.0,-15.0,159486
42.0,-14.0,433943
42.0,-13.0,511018
42.0,-12.0,535214
42.0,-11.0,304571
42.0,-10.0,251447
42.0,-9.0,177909
42.0,-8.0,125564
42.0,-7.0,94144
42.0,-6.0,72615
42.0,-5.0,57322
42.0,-4.0,47379
42.0,-3.0,40376
42.0,-2.0,36041
42.0,-1.0,31585
42.0,0.0,28215
42.0,1.0,25254
42.0,2.0,22607
42.0,3.0,20664
42.0,4.0,18737
42.0,5.0,17899
42.0,6.0,16320
42.0,7.0,15024
42.0,8.0,14024
42.0,9.0,12940
42.0,10.0,12144
42.0,11.0,11295
42.0,12.0,10405
42.0,13.0,9616
42.0,14.0,8568
42.0,15.0,7116
42.0,16.0,5161
42.0,17.0,1963
43.0,-18.0,5327
43.0,-17.0,21125
43.0,-16.0,64452
43.0,-15.0,154119
43.0,-14.0,383200
43.0,-13.0,611768
43.0,-12.0,484301
43.0,-11.0,348728
43.0,-10.0,294842
43.0,-9.0,199671
43.0,-8.0,144152
43.0,-7.0,107487
43.0,-6.0,81316
43.0,-5.0,63829
43.0,-4.0,52588
43.0,-3.0,44607
43.0,-2.0,40179
43.0,-1.0,34375
43.0,0.0,30889
43.0,1.0,27665
43.0,2.0,24851
43.0,3.0,22460
43.0,4.0,20098
43.0,5.0,18925
43.0,6.0,17564
43.0,7.0,16244
43.0,8.0,15007
43.0,9.0,13937
43.0,10.0,12891
43.0,11.0,11972
43.0,12.0,11033
43.0,13.0,9751
43.0,14.0,8825
43.0,15.0,7394
43.0,16.0,5168
43.0,17.0,1922
44.0,-18.0,5474
44.0,-17.0,20587
44.0,-16.0,62205
44.0,-15.0,154515
44.0,-14.0,360235
44.0,-13.0,578001
44.0,-12.0,478951
44.0,-11.0,424761
44.0,-10.0,363186
44.0,-9.0,245498
44.0,-8.0,177500
44.0,-7.0,125940
44.0,-6.0,91087
44.0,-5.0,73512
44.0,-4.0,60645
44.0,-3.0,51565
44.0,-2.0,44259
44.0,-1.0,38278
44.0,0.0,34471
44.0,1.0,30801
44.0,2.0,27724
44.0,3.0,24844
44.0,4.0,22300
44.0,5.0,20390
44.0,6.0,19153
44.0,7.0,17914
44.0,8.0,16317
44.0,9.0,14836
44.0,10.0,13796
44.0,11.0,12430
44.0,12.0,11471
44.0,13.0,10317
44.0,14.0,9093
44.0,15.0,7559
44.0,16.0,5128
44.0,17.0,1996
45.0,-18.0,5391
45.0,-17.0,20173
45.0,-16.0,59716
45.0,-15.0,151006
45.0,-14.0,353316
45.0,-13.0,492435
45.0,-12.0,365527
45.0,-11.0,569954
45.0,-10.0,445988
45.0,-9.0,328393
45.0,-8.0,221441
45.0,-7.0,129373
45.0,-6.0,103995
45.0,-5.0,87862
45.0,-4.0,72514
45.0,-3.0,59241
45.0,-2.0,52002
45.0,-1.0,42400
45.0,0.0,45163
45.0,1.0,35180
45.0,2.0,30539
45.0,3.0,27727
45.0,4.0,24380
45.0,5.0,22789
45.0,6.0,21044
45.0,7.0,19139
45.0,8.0,17642
45.0,9.0,16114
45.0,10.0,14861
45.0,11.0,13554
45.0,12.0,12355
45.0,13.0,10975
45.0,14.0,9802
45.0,15.0,7789
45.0,16.0,5405
45.0,17.0,2043
46.0,-18.0,5590
46.0,-17.0,19144
46.0,-16.0,56951
46.0,-15.0,135729
46.0,-14.0,335148
46.0,-13.0,612330
46.0,-12.0,490261
46.0,-11.0,704875
46.0,-10.0,566584
46.0,-9.0,402115
46.0,-8.0,242073
46.0,-7.0,157611
46.0,-6.0,123812
46.0,-5.0,104785
46.0,-4.0,87935
46.0,-3.0,68577
46.0,-2.0,60375
46.0,-1.0,47632
46.0,0.0,46205
46.0,1.0,41183
46.0,2.0,35731
46.0,3.0,31210
46.0,4.0,27753
46.0,5.0,25631
46.0,6.0,23394
46.0,7.0,21413
46.0,8.0,19319
46.0,9.0,17988
46.0,10.0,15933
46.0,11.0,14838
46.0,12.0,13037
46.0,13.0,11425
46.0,14.0,9810
46.0,15.0,7953
46.0,16.0,5468
46.0,17.0,1925
47.0,-18.0,5452
47.0,-17.0,19506
47.0,-16.0,54226
47.0,-15.0,123874
47.0,-14.0,290102
47.0,-13.0,547786
47.0,-12.0,920680
47.0,-11.0,413646
47.0,-10.0,537135
47.0,-9.0,460274
47.0,-8.0,277341
47.0,-7.0,232667
47.0,-6.0,180129
47.0,-5.0,123761
47.0,-4.0,103843
47.0,-3.0,83159
47.0,-2.0,67551
47.0,-1.0,53323
47.0,0.0,53298
47.0,1.0,48943
47.0,2.0,42480
47.0,3.0,37266
47.0,4.0,32177
47.0,5.0,29255
47.0,6.0,26557
47.0,7.0,24046
47.0,8.0,21981
47.0,9.0,19775
47.0,10.0,17518
47.0,11.0,16033
47.0,12.0,14135
47.0,13.0,12211
47.0,14.0,10669
47.0,15.0,8381
47.0,16.0,5707
47.0,17.0,2084
48.0,-18.0,5195
48.0,-17.0,19784
48.0,-16.0,50777
48.0,-15.0,110789
48.0,-14.0,242902
48.0,-13.0,501501
48.0,-12.0,1004152
48.0,-11.0,980867
48.0,-10.0,415850
48.0,-9.0,434394
48.0,-8.0,290954
48.0,-7.0,318608
48.0,-6.0,207889
48.0,-5.0,165627
48.0,-4.0,116319
48.0,-3.0,97202
48.0,-2.0,81552
48.0,-1.0,71303
48.0,0.0,67118
48.0,1.0,60104
48.0,2.0,51188
48.0,3.0,44893
48.0,4.0,37283
48.0,5.0,33903
48.0,6.0,31056
48.0,7.0,27849
48.0,8.0,25035
48.0,9.0,21888
48.0,10.0,19409
48.0,11.0,17284
48.0,12.0,15292
48.0,13.0,13262
48.0,14.0,11263
48.0,15.0,8799
48.0,16.0,5944
48.0,17.0,2081
49.0,-18.0,4971
49.0,-17.0,18877
49.0,-16.0,46473
49.0,-15.0,99218
49.0,-14.0,201568
49.0,-13.0,393442
49.0,-12.0,734910
49.0,-11.0,1192531
49.0,-10.0,755096
49.0,-9.0,540587
49.0,-8.0,421084
49.0,-7.0,423694
49.0,-6.0,259141
49.0,-5.0,115142
49.0,-4.0,116994
49.0,-3.0,106410
49.0,-2.0,95027
49.0,-1.0,88622
49.0,0.0,88579
49.0,1.0,74229
49.0,2.0,63317
49.0,3.0,54123
49.0,4.0,46531
49.0,5.0,40879
49.0,6.0,36999
49.0,7.0,32606
49.0,8.0,28583
49.0,9.0,25272
49.0,10.0,21712
49.0,11.0,19285
49.0,12.0,16469
49.0,13.0,14355
49.0,14.0,12029
49.0,15.0,9177
49.0,16.0,6107
49.0,17.0,2156
50.0,-18.0,4992
50.0,-17.0,18451
50.0,-16.0,44432
50.0,-15.0,87093
50.0,-14.0,164976
50.0,-13.0,295275
50.0,-12.0,571643
50.0,-11.0,919298
50.0,-10.0,705844
50.0,-9.0,724623
50.0,-8.0,770875
50.0,-7.0,849617
50.0,-6.0,690309
50.0,-5.0,308459
50.0,-4.0,199648
50.0,-3.0,122392
50.0,-2.0,112871
50.0,-1.0,121146
50.0,0.0,114507
50.0,1.0,92428
50.0,2.0,81111
50.0,3.0,66248
50.0,4.0,57977
50.0,5.0,49324
50.0,6.0,43870
50.0,7.0,45091
50.0,8.0,33359
50.0,9.0,29154
50.0,10.0,24205
50.0,11.0,21317
50.0,12.0,18028
50.0,13.0,15292
50.0,14.0,12735
50.0,15.0,9685
50.0,16.0,6027
50.0,17.0,2122
51.0,-18.0,4962
51.0,-17.0,16909
51.0,-16.0,39057
51.0,-15.0,76916
51.0,-14.0,139577
51.0,-13.0,242650
51.0,-12.0,415660
51.0,-11.0,695671
51.0,-10.0,733130
51.0,-9.0,591729
51.0,-8.0,689798
51.0,-7.0,1660110
51.0,-6.0,1439313
51.0,-5.0,660488
51.0,-4.0,471665
51.0,-3.0,202327
51.0,-2.0,132537
51.0,-1.0,121740
51.0,0.0,143488
51.0,1.0,121874
51.0,2.0,101771
51.0,3.0,86869
51.0,4.0,75219
51.0,5.0,62573
51.0,6.0,52815
51.0,7.0,45274
51.0,8.0,41863
51.0,9.0,32872
51.0,10.0,28142
51.0,11.0,23858
51.0,12.0,20424
51.0,13.0,16999
51.0,14.0,13651
51.0,15.0,10364
51.0,16.0,6358
51.0,17.0,2184
52.0,-18.0,4698
52.0,-17.0,16970
52.0,-16.0,33406
52.0,-15.0,69646
52.0,-14.0,118800
52.0,-13.0,200939
52.0,-12.0,328820
52.0,-11.0,523603
52.0,-10.0,866094
52.0,-9.0,1180889
52.0,-8.0,929386
52.0,-7.0,769732
52.0,-6.0,1698600
52.0,-5.0,1367528
52.0,-4.0,962187
52.0,-3.0,403949
52.0,-2.0,167335
52.0,-1.0,189231
52.0,0.0,205094
52.0,1.0,176173
52.0,2.0,137139
52.0,3.0,121011
52.0,4.0,96781
52.0,5.0,80868
52.0,6.0,66847
52.0,7.0,55189
52.0,8.0,47141
52.0,9.0,38801
52.0,10.0,32420
52.0,11.0,26889
52.0,12.0,22614
52.0,13.0,18667
52.0,14.0,14756
52.0,15.0,10687
52.0,16.0,6610
52.0,17.0,2216
53.0,-18.0,4585
53.0,-17.0,15698
53.0,-16.0,31300
53.0,-15.0,60079
53.0,-14.0,98040
53.0,-13.0,154692
53.0,-12.0,238778
53.0,-11.0,373932
53.0,-10.0,641765
53.0,-9.0,1057777
53.0,-8.0,2294360
53.0,-7.0,2999794
53.0,-6.0,2202539
53.0,-5.0,2173534
53.0,-4.0,1496947
53.0,-3.0,626638
53.0,-2.0,276548
53.0,-1.0,275075
53.0,0.0,290215
53.0,1.0,255384
53.0,2.0,200333
53.0,3.0,167416
53.0,4.0,129032
53.0,5.0,106717
53.0,6.0,85643
53.0,7.0,69535
53.0,8.0,57126
53.0,9.0,47180
53.0,10.0,38212
53.0,11.0,31489
53.0,12.0,25644
53.0,13.0,20711
53.0,14.0,15945
53.0,15.0,11268
53.0,16.0,6765
53.0,17.0,2335
54.0,-18.0,4358
54.0,-17.0,15208
54.0,-16.0,27427
54.0,-15.0,50832
54.0,-14.0,80714
54.0,-13.0,122404
54.0,-12.0,177304
54.0,-11.0,267153
54.0,-10.0,425070
54.0,-9.0,748818
54.0,-8.0,1529223
54.0,-7.0,2902020
54.0,-6.0,4815659
54.0,-5.0,1520322
54.0,-4.0,1013482
54.0,-3.0,555214
54.0,-2.0,410126
54.0,-1.0,249122
54.0,0.0,484791
54.0,1.0,407379
54.0,2.0,314818
54.0,3.0,232151
54.0,4.0,178017
54.0,5.0,138149
54.0,6.0,112880
54.0,7.0,90868
54.0,8.0,71503
54.0,9.0,57671
54.0,10.0,45945
54.0,11.0,36649
54.0,12.0,29838
54.0,13.0,23050
54.0,14.0,17373
54.0,15.0,11898
54.0,16.0,7125
54.0,17.0,2255
55.0,-18.0,4403
55.0,-17.0,14060
55.0,-16.0,27094
55.0,-15.0,43979
55.0,-14.0,67662
55.0,-13.0,94040
55.0,-12.0,137264
55.0,-11.0,202075
55.0,-10.0,306083
55.0,-9.0,451671
55.0,-8.0,719771
55.0,-7.0,1251424
55.0,-6.0,1960851
55.0,-5.0,2099195
55.0,-4.0,1736956
55.0,-3.0,1332576
55.0,-2.0,717085
55.0,-1.0,369831
55.0,0.0,397368
55.0,1.0,686310
55.0,2.0,474755
55.0,3.0,324144
55.0,4.0,267977
55.0,5.0,199586
55.0,6.0,150347
55.0,7.0,120433
55.0,8.0,91703
55.0,9.0,71231
55.0,10.0,56266
55.0,11.0,43873
55.0,12.0,34279
55.0,13.0,26296
55.0,14.0,18751
55.0,15.0,12526
55.0,16.0,7597
55.0,17.0,2384
56.0,-18.0,4418
56.0,-17.0,13351
56.0,-16.0,25555
56.0,-15.0,40895
56.0,-14.0,60452
56.0,-13.0,79591
56.0,-12.0,108172
56.0,-11.0,151104
56.0,-10.0,209162
56.0,-9.0,283811
56.0,-8.0,396208
56.0,-7.0,633289
56.0,-6.0,757106
56.0,-5.0,870681
56.0,-4.0,1170898
56.0,-3.0,1289475
56.0,-2.0,2264320
56.0,-1.0,1081591
56.0,0.0,292964
56.0,1.0,479921
56.0,2.0,785048
56.0,3.0,524805
56.0,4.0,406735
56.0,5.0,299173
56.0,6.0,221203
56.0,7.0,164019
56.0,8.0,120533
56.0,9.0,92668
56.0,10.0,70275
56.0,11.0,53579
56.0,12.0,40141
56.0,13.0,29965
56.0,14.0,20923
56.0,15.0,13363
56.0,16.0,7801
56.0,17.0,2424
57.0,-18.0,4168
57.0,-17.0,12014
57.0,-16.0,22996
57.0,-15.0,37193
57.0,-14.0,52026
57.0,-13.0,73313
57.0,-12.0,97071
57.0,-11.0,112730
57.0,-10.0,146285
57.0,-9.0,184308
57.0,-8.0,206067
57.0,-7.0,363990
57.0,-6.0,400607
57.0,-5.0,505008
57.0,-4.0,652816
57.0,-3.0,708368
57.0,-2.0,886988
57.0,-1.0,963307
57.0,0.0,970413
57.0,1.0,450921
57.0,2.0,802676
57.0,3.0,707837
57.0,4.0,504892
57.0,5.0,503462
57.0,6.0,351713
57.0,7.0,240150
57.0,8.0,171896
57.0,9.0,125318
57.0,10.0,90120
57.0,11.0,65842
57.0,12.0,47258
57.0,13.0,33647
57.0,14.0,22037
57.0,15.0,14998
57.0,16.0,8203
57.0,17.0,2392
58.0,-18.0,4137
58.0,-17.0,10994
58.0,-16.0,19484
58.0,-15.0,33087
58.0,-14.0,43626
58.0,-13.0,57100
58.0,-12.0,70802
58.0,-11.0,89776
58.0,-10.0,108169
58.0,-9.0,130296
58.0,-8.0,137465
58.0,-7.0,216499
58.0,-6.0,242215
58.0,-5.0,304690
58.0,-4.0,362266
58.0,-3.0,406647
58.0,-2.0,441959
58.0,-1.0,546452
58.0,0.0,757287
58.0,1.0,975164
58.0,2.0,850992
58.0,3.0,589308
58.0,4.0,680294
58.0,5.0,993185
58.0,6.0,694953
58.0,7.0,411844
58.0,8.0,258614
58.0,9.0,175344
58.0,10.0,116477
58.0,11.0,81748
58.0,12.0,57399
58.0,13.0,37433
58.0,14.0,23665
58.0,15.0,15767
58.0,16.0,8567
58.0,17.0,2502
59.0,-18.0,3840
59.0,-17.0,10021
59.0,-16.0,18057
59.0,-15.0,29972
59.0,-14.0,37736
59.0,-13.0,48425
59.0,-12.0,59176
59.0,-11.0,71657
59.0,-10.0,85359
59.0,-9.0,98950
59.0,-8.0,107880
59.0,-7.0,129104
59.0,-6.0,151690
59.0,-5.0,182081
59.0,-4.0,197110
59.0,-3.0,238259
59.0,-2.0,283047
59.0,-1.0,334329
59.0,0.0,467250
59.0,1.0,626932
59.0,2.0,879227
59.0,3.0,1134927
59.0,4.0,720194
59.0,5.0,868374
59.0,6.0,1014161
59.0,7.0,737794
59.0,8.0,377941
59.0,9.0,243688
59.0,10.0,158241
59.0,11.0,103825
59.0,12.0,69920
59.0,13.0,40267
59.0,14.0,25100
59.0,15.0,16514
59.0,16.0,8889
59.0,17.0,2470
60.0,-18.0,3929
60.0,-17.0,9782
60.0,-16.0,17875
60.0,-15.0,27181
60.0,-14.0,34762
60.0,-13.0,42089
60.0,-12.0,50325
60.0,-11.0,58400
60.0,-10.0,67902
60.0,-9.0,77723
60.0,-8.0,87346
60.0,-7.0,93152
60.0,-6.0,108951
60.0,-5.0,118068
60.0,-4.0,135860
60.0,-3.0,160313
60.0,-2.0,196519
60.0,-1.0,207060
60.0,0.0,295319
60.0,1.0,363635
60.0,2.0,487520
60.0,3.0,603478
60.0,4.0,603777
60.0,5.0,389059
60.0,6.0,495178
60.0,7.0,663859
60.0,8.0,340495
60.0,9.0,268791
60.0,10.0,212162
60.0,11.0,117977
60.0,12.0,78202
60.0,13.0,40930
60.0,14.0,25758
60.0,15.0,17218
60.0,16.0,9087
60.0,17.0,2559
61.0,-18.0,3849
61.0,-17.0,9691
61.0,-16.0,17164
61.0,-15.0,25359
61.0,-14.0,31214
61.0,-13.0,36317
61.0,-12.0,42241
61.0,-11.0,48767
61.0,-10.0,55370
61.0,-9.0,61742
61.0,-8.0,69984
61.0,-7.0,76615
61.0,-6.0,86425
61.0,-5.0,96855
61.0,-4.0,107809
61.0,-3.0,124377
61.0,-2.0,143652
61.0,-1.0,158130
61.0,0.0,187571
61.0,1.0,228219
61.0,2.0,286903
61.0,3.0,373145
61.0,4.0,454619
61.0,5.0,436886
61.0,6.0,371121
61.0,7.0,209811
61.0,8.0,130463
61.0,9.0,282393
61.0,10.0,262309
61.0,11.0,133783
61.0,12.0,82827
61.0,13.0,44050
61.0,14.0,23960
61.0,15.0,17946
61.0,16.0,9528
61.0,17.0,2519
62.0,-18.0,3780
62.0,-17.0,10151
62.0,-16.0,16420
62.0,-15.0,23067
62.0,-14.0,28328
62.0,-13.0,32172
62.0,-12.0,36024
62.0,-11.0,41197
62.0,-10.0,45687
62.0,-9.0,50421
62.0,-8.0,55432
62.0,-7.0,59143
62.0,-6.0,63719
62.0,-5.0,72307
62.0,-4.0,80202
62.0,-3.0,91438
62.0,-2.0,101388
62.0,-1.0,114603
62.0,0.0,128805
62.0,1.0,153854
62.0,2.0,180539
62.0,3.0,223810
62.0,4.0,279530
62.0,5.0,357041
62.0,6.0,460690
62.0,7.0,431284
62.0,8.0,164127
62.0,9.0,372321
62.0,10.0,194514
62.0,11.0,123746
62.0,12.0,82784
62.0,13.0,53740
62.0,14.0,25653
62.0,15.0,16170
62.0,16.0,9637
62.0,17.0,2564
63.0,-18.0,3655
63.0,-17.0,9764
63.0,-16.0,15263
63.0,-15.0,20991
63.0,-14.0,25664
63.0,-13.0,29023
63.0,-12.0,31729
63.0,-11.0,35268
63.0,-10.0,38344
63.0,-9.0,41907
63.0,-8.0,44311
63.0,-7.0,45541
63.0,-6.0,50927
63.0,-5.0,56929
63.0,-4.0,61240
63.0,-3.0,67118
63.0,-2.0,70836
63.0,-1.0,83068
63.0,0.0,91829
63.0,1.0,104933
63.0,2.0,123446
63.0,3.0,148170
63.0,4.0,175078
63.0,5.0,231169
63.0,6.0,326561
63.0,7.0,428575
63.0,8.0,375367
63.0,9.0,460338
63.0,10.0,124799
63.0,11.0,158536
63.0,12.0,77146
63.0,13.0,53405
63.0,14.0,25455
63.0,15.0,17491
63.0,16.0,10127
63.0,17.0,2633
64.0,-18.0,3773
64.0,-17.0,9024
64.0,-16.0,14323
64.0,-15.0,19781
64.0,-14.0,23187
64.0,-13.0,26028
64.0,-12.0,27809
64.0,-11.0,30942
64.0,-10.0,33241
64.0,-9.0,35465
64.0,-8.0,36765
64.0,-7.0,39311
64.0,-6.0,42623
64.0,-5.0,45980
64.0,-4.0,49001
64.0,-3.0,52816
64.0,-2.0,57432
64.0,-1.0,67864
64.0,0.0,70202
64.0,1.0,80617
64.0,2.0,93913
64.0,3.0,105999
64.0,4.0,128512
64.0,5.0,157818
64.0,6.0,211195
64.0,7.0,286052
64.0,8.0,347782
64.0,9.0,445730
64.0,10.0,267130
64.0,11.0,192897
64.0,12.0,130247
64.0,13.0,53442
64.0,14.0,28660
64.0,15.0,20214
64.0,16.0,10696
64.0,17.0,2607
65.0,-18.0,3671
65.0,-17.0,8903
65.0,-16.0,13475
65.0,-15.0,18311
65.0,-14.0,21149
65.0,-13.0,23432
65.0,-12.0,25385
65.0,-11.0,27202
65.0,-10.0,28758
65.0,-9.0,30629
65.0,-8.0,32370
65.0,-7.0,34478
65.0,-6.0,36469
65.0,-5.0,39956
65.0,-4.0,40303
65.0,-3.0,42916
65.0,-2.0,46590
65.0,-1.0,49768
65.0,0.0,54402
65.0,1.0,61484
65.0,2.0,69263
65.0,3.0,79659
65.0,4.0,96911
65.0,5.0,121894
65.0,6.0,150252
65.0,7.0,181732
65.0,8.0,255593
65.0,9.0,387524
65.0,10.0,357182
65.0,11.0,206820
65.0,12.0,167494
65.0,13.0,78676
65.0,14.0,28962
65.0,15.0,17135
65.0,16.0,10707
65.0,17.0,2655
66.0,-18.0,3611
66.0,-17.0,8564
66.0,-16.0,13186
66.0,-15.0,17485
66.0,-14.0,19640
66.0,-13.0,21365
66.0,-12.0,22907
66.0,-11.0,24304
66.0,-10.0,25704
66.0,-9.0,27113
66.0,-8.0,28127
66.0,-7.0,29715
66.0,-6.0,31074
66.0,-5.0,32479
66.0,-4.0,34093
66.0,-3.0,35905
66.0,-2.0,37811
66.0,-1.0,39383
66.0,0.0,44816
66.0,1.0,48914
66.0,2.0,56172
66.0,3.0,65410
66.0,4.0,75529
66.0,5.0,92122
66.0,6.0,114337
66.0,7.0,148762
66.0,8.0,190233
66.0,9.0,339384
66.0,10.0,442323
66.0,11.0,259839
66.0,12.0,160233
66.0,13.0,93352
66.0,14.0,35584
66.0,15.0,18647
66.0,16.0,10318
66.0,17.0,2550
67.0,-18.0,3439
67.0,-17.0,8451
67.0,-16.0,12471
67.0,-15.0,16444
67.0,-14.0,18532
